query,title,url,author,points,comments,created,hn_url
"bluesky","Bluesky Is Not Decentralized","https://beige.party/@possibledog/113367977656537478","pabs3",218,194,"2024-10-26T06:36:22Z","https://news.ycombinator.com/item?id=41952994"
"web scraping","Show HN: MrScraper – A visual web-scraping tool","https://mrscraper.com","buffer_overflow",215,82,"2023-02-10T07:19:57Z","https://news.ycombinator.com/item?id=34736691"
"web scraping","Ask HN: What’s the legality of web scraping?","","malshe",214,113,"2019-06-23T16:33:36Z","https://news.ycombinator.com/item?id=20256681"
"MCP server","Show HN: A “Course” as an MCP Server","https://mastra.ai/course","codekarate",213,32,"2025-06-10T20:36:55Z","https://news.ycombinator.com/item?id=44241202"
"bluesky","The Bluesky Dictionary","https://www.avibagla.com/blueskydictionary/","gaws",212,54,"2025-08-06T20:43:08Z","https://news.ycombinator.com/item?id=44817583"
"bluesky","Bluesky adds direct messages","https://bsky.social/about/blog/05-22-2024-direct-messages","charlieok",210,198,"2024-05-22T18:59:44Z","https://news.ycombinator.com/item?id=40444778"
"bluesky","Bluesky is currently gaining more than 1M users a day","https://bsky.jazco.dev/stats","henrijn",209,231,"2024-11-16T21:58:35Z","https://news.ycombinator.com/item?id=42159713"
"market research","Google Docs makes it easy to do market research","https://plus.google.com/115195708001192408562/posts/BiGE3gwjDkB","jasonkolb",207,41,"2013-03-07T16:21:55Z","https://news.ycombinator.com/item?id=5338433"
"automation tool","Launch HN: Enso (YC S21) – Visual programming and workflow automation tool","","wdanilo",205,54,"2021-07-06T14:05:46Z","https://news.ycombinator.com/item?id=27748738"
"web scraping","Web Scraping and Crawling Are Perfectly Legal, Right? (2017)","https://benbernardblog.com/web-scraping-and-crawling-are-perfectly-legal-right/","heshiebee",204,125,"2019-07-30T23:36:20Z","https://news.ycombinator.com/item?id=20570318"
"bluesky","Why isn't Bluesky a peer-to-peer network?","https://www.pfrazee.com/blog/why-not-p2p","jakebsky",204,161,"2024-01-22T04:36:20Z","https://news.ycombinator.com/item?id=39086244"
"bluesky","Bluesky now has 30 million users","https://bsky.app/profile/bsky.app/post/3lgu4lg6j2k2v","belter",200,179,"2025-02-03T10:17:41Z","https://news.ycombinator.com/item?id=42916770"
"MCP server","Show HN: Apple Health MCP Server","https://github.com/neiltron/apple-health-mcp","_neil",199,49,"2025-07-23T17:23:23Z","https://news.ycombinator.com/item?id=44661673"
"bluesky","Scientists No Longer Find X Professionally Useful, and Have Switched to Bluesky","https://academic.oup.com/icb/advance-article-abstract/doi/10.1093/icb/icaf127/8196180?redirectedFrom=fulltext&login=false","sebg",199,182,"2025-08-21T22:22:56Z","https://news.ycombinator.com/item?id=44978815"
"bluesky","Bluesky Reaches 10M Accounts","https://bsky.app/profile/bsky.app/post/3l47prg3wgy23","Kye",199,115,"2024-09-15T20:20:39Z","https://news.ycombinator.com/item?id=41550053"
"web scraping","Upton: A Web Scraping Framework","http://www.propublica.org/nerds/item/upton-a-web-scraping-framework","t1c1",198,61,"2013-07-22T19:41:52Z","https://news.ycombinator.com/item?id=6086031"
"bluesky","Ask HN: Bluesky Accounts Worth Following for HN Enthusiasts","","IAmGraydon",198,130,"2024-11-20T01:18:21Z","https://news.ycombinator.com/item?id=42189890"
"web scraping","Web Scraping with Python","https://www.scrapingbee.com/blog/web-scraping-101-with-python/","daolf",195,77,"2022-05-15T12:50:26Z","https://news.ycombinator.com/item?id=31387248"
"web scraping","ScrapeGraphAI: Web scraping using LLM and direct graph logic","https://scrapegraph-doc.onrender.com/","ulrischa",194,63,"2024-05-07T19:41:25Z","https://news.ycombinator.com/item?id=40290596"
"bluesky","Bluesky is ushering in a pick-your-own algorithm era of social media","https://www.newscientist.com/article/2456782-bluesky-is-ushering-in-a-pick-your-own-algorithm-era-of-social-media/","amichail",193,252,"2024-11-20T12:59:55Z","https://news.ycombinator.com/item?id=42193549"
"AI startup","Why AI Infrastructure Startups Are Insanely Hard to Build","https://nextword.substack.com/p/why-ai-infrastructure-startups-are","nextworddev",192,181,"2024-07-03T03:15:58Z","https://news.ycombinator.com/item?id=40862436"
